stnreg_stnid	Stnreg	Platform type
FIBG29	SMEDJEPRICKEN	BTL
BPNS46	SOLLENKROKA	BTL
GBSX10	SR1A	BTL
GBSX09	SR3	BTL
GBSX07	SR5 / C4	BTL
GBSX05	SR7	BTL
GBSX04	SR8	BTL
GBSX60	SS28B	BTL
GBSX06	SS29	BTL
GBSX61	SS29B	BTL
GBSX63	SS30B	BTL
GBSX08	SS31	BTL
GBSX64	SS31B	BTL
GBSX65	SS32	BTL
GBSX11	SS32B	BTL
SKNX51	SSE LILLESAND	BTL
KAEX30	ST MIDDELGRUND	BTL
FIBO57	STIGFJORDEN INRE	BTL
FIBO56	STIGFJORDEN YTTRE	BTL
BPSE08	STOLPE TRÖSKEL	BTL
FIBO65	STORA DEJE	BTL
GBSX82	STORJUNGFRUN	BTL
FIBB70	STRETUDDEN	BTL
BSKX19	SUDERFAHRT	BTL
GBSX85	SUNDSVALL	BTL
GBSY06	SUNDSVALL 1	BTL
GBSY08	SUNDSVALL 135	BTL
GBSY09	SUNDSVALL 175	BTL
GBSY10	SUNDSVALL 320	BTL
GBSY07	SUNDSVALL 50	BTL
GBSY11	SUNDSVALL 575	BTL
GBSY12	SUNDSVALL 630	BTL
SKEX22	SW HÅLLÖ	BTL
KANI94	SW LILLA FÖRÖ	BTL
KANX02	SW VINGA GF4	BTL
BPNS54	SVALKAN	BTL
BPNX61	SVENSKA BJÖRN	BTL
GBQU09	SYD OBBOLA	BTL
FIBI14	SÄCKEN	BTL
KANI83	SÄLÖFJORD	BTL
BPNE11	SÖ05 / SLÄTB KILL-GNES	BTL
BPNE12	SÖ06 / SLÄTBAKEN	BTL
BPNE13	SÖ07 / TRÄNNÖFJ KVA-GA	BTL
BPNE14	SÖ08 / ÖSTERSJÖN KORSFJ	BTL
BPNE15	SÖ09 / ÖSTERSJÖN LINDESF	BTL
BPND01	SÖ1 / INRE MARSVIKEN	BTL
BPND11	SÖ11 / SJÖSAFJÄRDEN	BTL
BPNE16	SÖ13 / TRÄNNÖFJÄRDEN	BTL
BPNE17	SÖ14 / HAFJÄRDEN	BTL
BPNE18	SÖ15 / KORSFJÄRDEN	BTL
BPND16	SÖ16 / NV SJÄLPELLES	BTL
BPND17	SÖ17 / O HERTIGÖ	BTL
BPND20	SÖ20 / KRÅKFJÄRDEN	BTL
BPND21	SÖ21 / S SKEPNA	BTL
BPND25	SÖ25 / GUPAFJÄRDEN	BTL
BPND26	SÖ26 / GUNNARBOLFJÄRD	BTL
BPND27	SÖ27 / SKETTNEFJ	BTL
BPND28	SÖ28B / HÅLLSVIKEN	BTL
BPND29	SÖ29 / BOKÖSUND	BTL
BPND03	SÖ3 / BOKÖSUND	BTL
BPNS50	SÖ36 / SVARTHÄLL	BTL
